,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
314,port hedland,CD,212962,-7.03,29.76,23.36,23.36,44,0,3.8
315,davila,PH,1715335,18.47,120.58,27.67,27.67,75,100,1.91
316,cedar city,US,4850657,41.21,-92.53,27.17,28.0,58,1,2.1
317,kushima,JP,1895695,31.46,131.23,21.0,21.0,83,90,2.1
318,sembabule,UG,226361,-0.08,31.46,19.27,19.27,70,100,1.49
319,praia da vitoria,CV,3374333,14.92,-23.51,27.0,27.0,65,75,7.2
320,okha,RU,2122614,53.57,142.95,14.1,14.1,88,100,2.44
321,puerto del rosario,ES,2518207,36.59,-6.23,31.98,33.0,35,0,7.2
322,baker city,US,4315312,30.59,-91.17,30.67,33.0,74,90,1.5
323,tanabe,JP,1850708,33.73,135.37,23.33,23.33,90,100,2.38
324,kozelsk,RU,543348,54.04,35.77,14.0,14.0,93,63,2.0
325,svetlogorsk,BY,10722858,52.63,29.73,15.36,15.36,77,50,1.89
326,hofn,IS,2630299,64.25,-15.21,11.0,11.0,87,75,12.3
327,japura,ID,1642773,-0.32,102.35,23.13,23.13,97,1,0.58
328,marzuq,YE,72181,14.4,46.47,29.75,29.75,47,88,1.64
329,hecun,CN,1808747,36.53,114.11,24.02,24.02,65,64,3.19
330,emerald,AU,2167426,-23.53,148.17,5.81,6.0,56,0,3.1
331,voronovytsya,UA,689003,49.11,28.68,21.0,21.0,64,84,1.93
332,buala,SB,2109528,-8.14,159.59,26.13,26.13,81,100,3.88
333,mangla,PK,1171050,31.89,72.38,37.71,37.71,31,18,2.41
334,lakatoro,VU,2136697,-16.1,167.42,22.0,22.0,94,20,2.42
335,zhigansk,RU,2012530,66.77,123.37,16.24,16.24,96,100,4.57
336,stettler,CA,6156307,52.32,-112.72,20.96,20.96,68,100,5.74
337,carnarvon,AU,2074865,-24.87,113.63,18.0,18.0,100,75,7.2
338,puerto morazan,ES,2518207,36.59,-6.23,31.98,33.0,35,0,7.2
339,palembang,ID,1633070,-2.92,104.75,23.68,23.68,98,19,1.33
340,gladstone,AU,2165478,-23.85,151.25,12.0,12.0,69,0,2.1
341,sitka,US,5557293,57.05,-135.33,15.0,15.0,82,75,5.1
342,yuci,CN,1785974,37.68,112.73,22.0,22.0,83,75,1.0
343,porosozero,RU,506232,62.72,32.73,12.11,12.11,69,100,3.31
344,mareeba,AU,2158767,-17.0,145.43,10.3,11.0,81,0,1.0
345,bell ville,US,4673310,31.05,-97.47,35.66,36.67,44,1,5.1
346,bara,NG,2347758,10.37,10.73,26.21,26.21,75,100,3.57
347,kutum,SD,371745,14.2,24.67,27.06,27.06,46,41,6.04
348,progreso,MX,3521108,21.28,-89.67,34.05,35.0,55,75,3.6
349,oktyabrskiy,RU,515879,54.48,53.47,19.83,19.83,87,100,0.73
350,lazarev,RU,2123836,52.23,141.51,13.17,13.17,98,96,9.57
351,guilin,CN,1809498,25.28,110.29,26.0,26.0,88,100,1.0
352,katsuura,JP,2112309,35.13,140.3,19.64,20.0,93,75,5.1
353,luanda,AO,2240449,-8.84,13.23,23.0,23.0,83,40,4.6
354,camabatela,AO,2242885,-8.19,15.38,19.82,19.82,26,0,1.94
355,kenai,US,5866063,60.55,-151.26,15.28,16.11,71,1,4.1
356,wladyslawowo,PL,3081752,54.79,18.4,16.65,17.22,77,20,3.1
