,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
34,zeya,RU,2012593,53.75,127.27,18.28,18.28,90,69,1.12
35,dera bugti,ET,326308,8.33,39.32,23.17,23.17,62,91,1.26
36,faanui,PF,4034551,-16.48,-151.75,25.32,25.32,84,29,6.34
37,hilo,US,5855927,19.73,-155.09,21.21,23.0,83,75,3.1
38,bluff,NZ,2206939,-46.6,168.33,3.89,3.89,83,9,1.34
39,boende,CD,218680,-0.22,20.87,30.35,30.35,53,28,0.82
40,chekhov,RU,569591,55.14,37.47,16.31,17.0,87,40,6.0
41,oppdal,NO,3143513,62.59,9.69,17.83,17.83,52,75,1.13
42,mendota,US,5372190,36.75,-120.38,17.53,17.78,77,1,2.57
43,yellowknife,CA,6185377,62.46,-114.35,12.32,13.0,82,75,6.7
44,ribeira grande,ES,3111807,42.75,-8.44,26.08,27.22,53,43,7.2
45,clyde river,US,5150651,41.3,-82.98,26.96,27.22,54,1,3.6
46,rikitea,PF,4030556,-23.12,-134.97,23.33,23.33,84,100,6.42
47,longyearbyen,SJ,2729907,78.22,15.64,9.0,9.0,61,75,2.1
48,kenai,US,5866063,60.55,-151.26,8.48,11.11,87,1,2.1
49,ushuaia,AR,3833367,-54.8,-68.3,-2.0,-2.0,92,40,2.6
50,cape town,CL,3872326,-36.41,-71.9,9.46,12.78,100,75,1.0
51,uglegorsk,RU,2120261,49.08,142.03,13.41,13.41,92,22,3.33
52,yulara,AU,6355222,-25.24,130.99,9.0,9.0,34,0,3.1
53,dikson,RU,1507390,73.51,80.55,4.9,4.9,91,100,5.23
54,vyartsilya,RU,470762,62.18,30.69,20.79,20.79,46,91,3.2
55,barrow,US,5880054,71.29,-156.79,1.0,1.0,84,90,4.6
56,sucua,EC,3650956,-2.47,-78.17,23.26,23.26,72,90,0.3
57,kodiak,US,5866583,57.79,-152.41,14.0,14.0,67,1,3.1
58,itarema,BR,3393692,-2.92,-39.92,29.5,29.5,59,17,5.72
59,airai,TL,1651810,-8.93,125.41,13.3,13.3,100,31,1.67
60,sorland,NO,3137469,67.67,12.69,16.0,16.0,72,77,1.5
61,flinders,AU,6255012,-34.58,150.86,12.32,12.78,63,88,4.92
62,preobrazheniye,RU,2017658,42.9,133.91,15.1,15.1,90,4,1.38
63,hare bay,US,4735702,30.67,-97.27,28.17,29.44,70,36,2.68
